month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Manhattan,2,LCL/LTD,M14D,Peak,3551,4595,77.2796518
2015-01-01,Manhattan,2,LCL/LTD,M15,Off-Peak,9772,14551,67.1568964
2015-01-01,Manhattan,2,LCL/LTD,M15,Peak,3154,4738,66.5681722
2015-01-01,Manhattan,2,LCL/LTD,M2,Off-Peak,3171,4018,78.9198606
2015-01-01,Manhattan,2,LCL/LTD,M2,Peak,1182,1567,75.4307594
2015-01-01,Manhattan,2,LCL/LTD,M20,Off-Peak,2423,2991,81.0096958
2015-01-01,Manhattan,2,LCL/LTD,M20,Peak,1001,1225,81.7142857
2015-01-01,Manhattan,2,LCL/LTD,M21,Off-Peak,1711,1978,86.5015167
2015-01-01,Manhattan,2,LCL/LTD,M21,Peak,708,848,83.490566
2015-01-01,Manhattan,2,LCL/LTD,M22,Off-Peak,1578,1804,87.4722838
2015-01-01,Manhattan,2,LCL/LTD,M22,Peak,804,897,89.632107
2015-01-01,Manhattan,2,LCL/LTD,M23,Off-Peak,4057,5020,80.8167331
2015-01-01,Manhattan,2,LCL/LTD,M23,Peak,1301,1681,77.3944081
2015-01-01,Manhattan,2,LCL/LTD,M3,Off-Peak,3595,5884,61.0978926
2015-01-01,Manhattan,2,LCL/LTD,M3,Peak,1700,2549,66.6928207
2015-01-01,Manhattan,2,LCL/LTD,M31,Off-Peak,3536,4486,78.8230049
2015-01-01,Manhattan,2,LCL/LTD,M31,Peak,1381,1782,77.4971942
2015-01-01,Manhattan,2,LCL/LTD,M4,Off-Peak,5525,8591,64.3114888
2015-01-01,Manhattan,2,LCL/LTD,M4,Peak,2461,3929,62.6368033
2015-01-01,Manhattan,2,LCL/LTD,M42,Off-Peak,2914,3641,80.032958
2015-01-01,Manhattan,2,LCL/LTD,M42,Peak,1081,1397,77.3801002
2015-01-01,Manhattan,2,LCL/LTD,M5,Off-Peak,6300,10358,60.8225526
2015-01-01,Manhattan,2,LCL/LTD,M5,Peak,2591,4216,61.4563567
2015-01-01,Manhattan,2,LCL/LTD,M50,Off-Peak,1314,1677,78.3542039
2015-01-01,Manhattan,2,LCL/LTD,M50,Peak,482,712,67.6966292
2015-01-01,Manhattan,2,LCL/LTD,M57,Off-Peak,2678,3614,74.1007194
2015-01-01,Manhattan,2,LCL/LTD,M57,Peak,1157,1519,76.1685319
2015-01-01,Manhattan,2,LCL/LTD,M66,Off-Peak,2404,3009,79.8936524
2015-01-01,Manhattan,2,LCL/LTD,M66,Peak,987,1230,80.2439024
2015-01-01,Manhattan,2,LCL/LTD,M7,Off-Peak,6992,10298,67.896679
2015-01-01,Manhattan,2,LCL/LTD,M7,Peak,2965,4368,67.8800366
2015-01-01,Manhattan,2,LCL/LTD,M72,Off-Peak,2865,3248,88.2081281
2015-01-01,Manhattan,2,LCL/LTD,M72,Peak,1229,1411,87.1013466
2015-01-01,Manhattan,2,LCL/LTD,M79,Off-Peak,5404,6613,81.7178285
2015-01-01,Manhattan,2,LCL/LTD,M79,Peak,1920,2379,80.7061791
2015-01-01,Manhattan,2,LCL/LTD,M8,Off-Peak,1737,1935,89.7674419
